x,y,z,ring,intensity
6.9682465,0.73959351,0.16341865,0,10
32.824112,5.9016113,1.832307,8,12
7.6468811,0.87402344,0.21053195,1,12
54.462906,10.213287,3.71421,9,35
8.5590363,1.0534668,0.25401413,2,11
54.432785,10.189423,5.6129084,10,38
9.6815033,1.2756653,0.32330918,3,7
54.405899,10.175903,7.5189562,11,27
11.29097,1.5924988,0.40112722,4,8
54.383072,10.153534,9.4372463,12,26
13.595901,2.0483704,0.51716614,5,10
54.407547,10.15033,11.381287,13,25
16.881546,2.6952209,0.72531593,6,7
54.541855,10.168854,13.374683,14,28
26.479202,4.592926,0.93677938,7,8
6.9797821,0.7208252,0.16122437,0,10
32.881271,5.7981262,1.8323698,8,12
7.6513519,0.85144043,0.21054959,1,12
54.550613,10.037445,3.7161367,9,35
8.5622101,1.0273132,0.25445175,2,11
54.52034,10.013763,5.6166487,10,39
9.6835175,1.2452087,0.32403004,3,7
54.532272,10.008026,7.5286598,11,27
11.274612,1.5526428,0.40451121,4,8
54.516739,9.9873352,9.4512482,12,26
13.592712,2.0027771,0.51846302,5,10
54.540665,9.9840088,11.398737,13,25
16.853134,2.6328125,0.72817671,6,7
54.578293,9.9833069,13.374834,14,28
26.457291,4.4970398,0.93827331,7,8
6.9799652,0.6998291,0.16234648,0,10
32.953812,5.6973267,1.8324293,8,12
7.6595306,0.82955933,0.20959842,1,12
54.731949,9.8792419,3.7213633,9,35
8.5403137,0.99636841,0.26031327,2,11
54.701309,9.8556824,5.6270351,10,39
9.6776581,1.2133179,0.32614696,3,7
54.728409,9.8528748,7.5458555,11,28
11.269745,1.5151672,0.4062196,4,8
54.64595,9.8194885,9.4647064,12,26
13.599136,1.9590759,0.51871085,5,7
16.851913,2.5758667,0.72906947,6,7
54.756302,9.8248596,13.405672,14,28
26.3918,4.3930664,0.94133711,7,8
6.9762878,0.67810059,0.16457498,0,10
33.037857,5.5983582,1.8324884,8,6
7.6600494,0.80618286,0.21058941,1,14
54.838242,9.70578,3.7239995,9,35
8.549057,0.97137451,0.25950265,2,11
54.811264,9.6831665,5.6324587,10,39
9.6794281,1.1828918,0.32687163,3,7
54.814651,9.6759644,7.5514293,11,28
11.272537,1.4792175,0.40681148,4,8
54.87587,9.6699524,9.4925842,12,26
13.572144,1.9090881,0.52253771,5,7
54.902023,9.6670837,11.450974,13,25
16.84462,2.5178528,0.73038793,6,10
54.964584,9.6710815,13.443157,14,28
26.278763,4.2807617,0.94611257,7,8
6.9687347,0.65579224,0.16790986,0,10
33.11763,5.4981384,1.8325577,8,6
7.6719055,0.78497314,0.20867085,1,14
54.998978,9.5418701,3.7285664,9,36
8.5538483,0.94564819,0.25952792,2,8
54.967789,9.5187073,5.6412125,10,39
9.6772003,1.1517944,0.32829499,3,7
55.002029,9.5172729,7.5678201,11,28
11.275208,1.4432373,0.40740561,4,8
54.988541,9.4973755,9.5038519,12,26
13.548904,1.8600769,0.52594626,5,7
55.033585,9.4980164,11.46846,13,25
16.841019,2.4606628,0.73142838,6,7
55.068558,9.4968567,13.458267,14,28
26.114151,4.1600037,0.95274127,7,8
6.97435,0.63586426,0.16737843,0,13
33.283646,5.4131775,1.8325777,8,12
7.6588898,0.75912476,0.21306038,1,14
55.174973,9.3799133,3.7336946,9,36
8.5431671,0.91708374,0.26289141,2,8
55.100204,9.348999,5.6483202,10,39
9.6613159,1.1182251,0.33216047,3,10
55.094986,9.3404236,7.5742497,11,28
11.269943,1.4058838,0.40912056,4,8
55.139664,9.3312073,9.5206738,12,26
13.541122,1.8140564,0.52767456,5,7
55.067703,9.3106689,11.468658,13,25
16.811707,2.3988953,0.73430252,6,7
55.198929,9.3268127,13.479195,14,28
26.090622,4.0658875,0.95425582,7,8
6.9760895,0.61526489,0.16795301,0,13
33.48494,5.333374,1.8325828,8,6
7.6629486,0.73651123,0.21308529,1,14
55.259964,9.2006531,3.7356839,9,36
8.555481,0.89273071,0.26125157,2,8
55.228195,9.1777954,5.6551638,10,39
9.666626,1.0885925,0.33219337,3,10
55.257889,9.1755371,7.5881724,11,28
11.25676,1.3671875,0.41195619,4,8
55.366592,9.1873474,9.5485821,12,26
13.517471,1.7653809,0.53108835,5,7
55.29512,9.1575317,11.503473,13,25
16.795883,2.3398132,0.73619425,6,10
55.328751,9.1560669,13.500134,14,28
25.991959,3.9588013,0.95847678,7,8
6.9853516,0.5960083,0.16631901,0,13
7.659317,0.7124939,0.21505201,1,14
55.391617,9.0292664,3.7393303,9,36
8.5366669,0.86425781,0.26628518,2,8
55.381485,9.02005,5.6639442,10,40
9.6660309,1.0579529,0.33327389,3,12
55.399033,9.0157166,7.600019,11,28
11.2509,1.3316956,0.41367328,4,8
55.399612,8.9987183,9.5488052,12,26
13.521103,1.7215881,0.53155994,5,7
55.520523,9.0123596,11.53829,13,26
16.771545,2.2822571,0.73864913,6,7
25.899948,3.8581543,0.96241271,7,8
6.9772949,0.57479858,0.16965771,0,13
